Year,Month,State,Labor Force,Employed,Unemployed,Unemployment Rate,Industry,Gender,Education Level
1999,Dec,NY,62000,56000,6000,9.68%,Retail,Female,High school diploma
2000,Jan,NY,120000,112800,7200,6.00%,Education,Male,Bachelor's degree
2000,Jan,NY,82000,76840,5160,6.29%,Energy,Female,High school diploma
2000,Jan,CA,145000,123250,21750,15.00%,Energy,Male,Master's degree
2000,Jan,CA,95000,80750,14250,15.00%,Education,Female,Associate's degree
2000,Feb,NY,105000,98625,6375,6.07%,Healthcare,Male,Associate's degree
2000,Feb,NY,85000,79500,5500,6.47%,Finance,Female,High school diploma
2000,Feb,CA,145000,110500,34500,23.79%,Manufacturing,Male,Associate's degree
2000,Feb,CA,87000,68300,18700,21.49%,Energy,Female,High school diploma
2000,Mar,CA,130000,120750,9250,7.12%,Manufacturing,Male,Master's degree
2000,Mar,CA,115000,106950,8050,7.00%,Retail,Female,Bachelor's degree
2000,Mar,NY,110000,92750,17250,15.68%,Manufacturing,Male,Master's degree
2000,Mar,NY,215000,191950,23050,10.72%,Wholesale Trade,Female,Bachelor's degree
2000,Apr,NY,125000,118125,6875,5.50%,Education,Male,Bachelor's degree
2000,Apr,NY,85000,79875,5125,6.03%,Energy,Female,High school diploma
2000,Apr,CA,82000,67840,14160,17.27%,Education,Male,Bachelor's degree
2000,Apr,CA,345000,323250,21750,6.30%,Energy,Female,High school diploma
2000,May,NY,110000,103400,6600,6.00%,Healthcare,Male,Associate's degree
2000,May,NY,90000,84375,5625,6.25%,Finance,Female,Bachelor's degree
2000,May,CA,80000,62000,18000,22.50%,Energy,Male,Associate's degree
2000,May,CA,200000,192000,8000,4.00%,Finance,Female,Bachelor's degree
2000,Jun,CA,135000,126900,8100,6.00%,Manufacturing,Male,Master's degree
2000,Jun,CA,120000,112200,7800,6.50%,Retail,Female,High school diploma
2000,Jun,NY,135000,121500,13500,10.00%,Manufacturing,Male,Master's degree
2000,Jun,NY,90000,81000,9000,10.00%,Retail,Female,High school diploma
2000,Jul,NY,103000,94000,9000,8.74%,Agriculture,Male,Bachelor's degree
2000,Jul,NY,62000,56000,6000,9.68%,Manufacturing,Female,High school diploma
2000,Jul,CA,120000,112800,7200,6.00%,Agriculture,Male,Bachelor's degree
2000,Jul,CA,82000,76840,5160,6.29%,Manufacturing,Female,High school diploma
2000,Aug,CA,125000,115000,10000,8.00%,Healthcare,Male,Master's degree
2000,Aug,CA,85000,77000,8000,9.41%,Wholesale Trade,Female,Associate's degree
2000,Aug,NY,162000,152000,10000,6.17%,Healthcare,Male,Master's degree
2000,Aug,NY,91000,81000,10000,10.99%,Retail,Female,Associate's degree
2000,Sep,NY,95000,87000,8000,8.42%,Education,Male,Bachelor's degree
2000,Sep,NY,59000,53000,6000,10.17%,Energy,Female,High school diploma
2000,Sep,CA,102000,91800,10200,10.00%,Education,Male,Bachelor's degree
2000,Sep,CA,141000,126900,14100,10.00%,Energy,Female,High school diploma
2000,Oct,NY,118000,107000,11000,9.32%,Finance,Male,Bachelor's degree
2000,Oct,NY,71000,64000,7000,9.86%,Agriculture,Female,High school diploma
2000,Oct,CA,173000,155700,17300,10.00%,Finance,Male,Bachelor's degree
2000,Oct,CA,102000,91800,10200,10.00%,Agriculture,Female,High school diploma
2000,Nov,CA,132000,121000,11000,8.33%,Healthcare,Male,Master's degree
2000,Nov,CA,88000,80000,8000,9.09%,Retail,Female,Associate's degree
2000,Nov,NY,125000,118125,6875,5.50%,Healthcare,Male,Master's degree
2000,Nov,NY,85000,79875,5125,6.03%,Retail,Female,Associate's degree
2000,Dec,NY,99000,91000,8000,8.08%,Education,Male,Bachelor's degree
2000,Dec,NY,62000,56000,6000,9.68%,Energy,Female,High school diploma
2000,Dec,CA,59000,53000,6000,10.17%,Finance,Male,Bachelor's degree
2000,Dec,CA,102000,91800,10200,10.00%,Energy,Female,High school diploma
2001,Jan,NY,104000,95000,9000,8.65%,Healthcare,Male,Bachelor's degree
2001,Jan,NY,63000,57000,6000,9.52%,Retail,Female,High school diploma
2001,Jan,CA,75000,68500,6500,8.67%,Finance,Male,Bachelor's degree
2001,Jan,CA,160000,144000,16000,10.00%,Healthcare,Female,High school diploma
2001,Feb,CA,126000,115000,11000,8.73%,Agriculture,Male,Master's degree
2001,Feb,CA,86000,78000,8000,9.30%,Retail,Female,Associate's degree
2001,Feb,NY,135000,131500,3500,2.59%,Agriculture,Male,Master's degree
2001,Feb,NY,90000,61000,29000,32.22%,Retail,Female,Associate's degree
2001,Mar,NY,230000,207000,23000,10.00%,Wholesale Trade,Male,Bachelor's degree
2001,Mar,NY,120000,108000,12000,10.00%,Healthcare,Female,High school diploma
2001,Mar,CA,141000,136900,4100,2.91%,Agriculture,Male,Bachelor's degree
2001,Mar,CA,90000,81420,8580,9.53%,Healthcare,Female,High school diploma
2001,Apr,CA,170000,153000,17000,10.00%,Manufacturing,Male,Bachelor's degree
2001,Apr,CA,128000,115200,12800,10.00%,Retail,Female,High school diploma
2001,Apr,NY,170000,144500,25500,15.00%,Agriculture,Male,Bachelor's degree
2001,Apr,NY,110000,93500,16500,15.00%,Retail,Female,High school diploma
2001,May,NY,140000,126000,14000,10.00%,Finance,Male,Master's degree
2001,May,NY,90000,81000,9000,10.00%,Education,Female,Associate's degree
2001,May,CA,52000,34200,17800,34.23%,Finance,Male,Master's degree
2001,May,CA,62000,41700,20300,32.74%,Education,Female,Associate's degree
2001,Jun,NY,190000,171000,19000,10.00%,Energy,Male,Bachelor's degree
2001,Jun,NY,100000,90000,10000,10.00%,Healthcare,Female,High school diploma
2001,Jun,CA,125000,92500,32500,26.00%,Energy,Male,Bachelor's degree
2001,Jun,CA,111000,92000,19000,17.12%,Wholesale Trade,Female,High school diploma
2001,Jul,CA,140000,126000,14000,10.00%,Manufacturing,Male,Bachelor's degree
2001,Jul,CA,105000,94500,10500,10.00%,Retail,Female,High school diploma
2001,Jul,NY,141000,136900,4100,2.91%,Manufacturing,Male,Bachelor's degree
2001,Jul,NY,90000,81420,8580,9.53%,Retail,Female,High school diploma
2001,Aug,NY,115000,103500,11500,10.00%,Finance,Male,Master's degree
2001,Aug,NY,75000,67500,7500,10.00%,Education,Female,Associate's degree
2001,Aug,CA,99000,91000,8000,8.08%,Finance,Male,Master's degree
2001,Aug,CA,62000,56000,6000,9.68%,Education,Female,Associate's degree
2001,Sep,NY,160000,144000,16000,10.00%,Agriculture,Male,Bachelor's degree
2001,Sep,NY,85000,76500,8500,10.00%,Healthcare,Female,High school diploma
2001,Sep,CA,190000,182000,8000,4.21%,Agriculture,Male,Bachelor's degree
2001,Sep,CA,185000,154500,30500,16.49%,Healthcare,Female,High school diploma
2001,Oct,CA,190000,171000,19000,10.00%,Manufacturing,Male,Bachelor's degree
2001,Oct,CA,120000,108000,12000,10.00%,Retail,Female,High school diploma
2001,Oct,NY,125000,102500,22500,18.00%,Manufacturing,Male,Bachelor's degree
2001,Oct,NY,80000,62000,18000,22.50%,Retail,Female,High school diploma
2001,Nov,CA,173000,155700,17300,10.00%,Healthcare,Male,High school diploma
2001,Nov,CA,102000,91800,10200,10.00%,Wholesale Trade,Female,Bachelor's degree
2001,Nov,NY,161000,154900,6100,3.79%,Healthcare,Male,High school diploma
2001,Nov,NY,87000,68300,18700,21.49%,Retail,Female,Bachelor's degree
2001,Dec,NY,141000,126900,14100,10.00%,Education,Male,Associate's degree
2001,Dec,NY,90000,81000,9000,10.00%,Finance,Female,High school diploma
2001,Dec,CA,99000,91000,8000,8.08%,Education,Male,Associate's degree
2001,Dec,CA,62000,56000,6000,9.68%,Finance,Female,High school diploma
2002,Jan,NY,159000,143100,15900,10.00%,Agriculture,Male,Master's degree
2002,Jan,NY,84000,75600,8400,10.00%,Healthcare,Female,Bachelor's degree
2002,Jan,CA,125000,92500,32500,26.00%,Agriculture,Male,Master's degree
2002,Jan,CA,111000,92000,19000,17.12%,Construction,Female,Bachelor's degree
2002,Feb,CA,178000,160200,17800,10.00%,Manufacturing,Male,High school diploma
2002,Feb,CA,103000,92700,10300,10.00%,Retail,Female,Bachelor's degree
2002,Feb,NY,145000,110500,34500,23.79%,Manufacturing,Male,Associate's degree
2002,Feb,NY,87000,68300,18700,21.49%,Energy,Female,High school diploma
2002,Mar,NY,145000,130500,14500,10.00%,Finance,Male,Associate's degree
2002,Mar,NY,87000,78300,8700,10.00%,Education,Female,High school diploma
2002,Mar,CA,141000,136900,4100,2.91%,Agriculture,Male,Bachelor's degree
2002,Mar,CA,90000,81420,8580,9.53%,Wholesale Trade,Female,High school diploma
2002,Apr,NY,161000,144900,16100,10.00%,Healthcare,Male,Master's degree
2002,Apr,NY,87000,78300,8700,10.00%,Agriculture,Female,Bachelor's degree
2002,Apr,CA,98000,83300,14700,15.00%,Manufacturing,Female,Master's degree
2002,Apr,CA,51000,43350,7650,15.00%,Retail,Male,Associate's degree
2002,May,CA,180000,162000,18000,10.00%,Retail,Male,High school diploma
2002,May,CA,105000,94500,10500,10.00%,Manufacturing,Female,Bachelor's degree
2002,May,NY,110000,103400,6600,6.00%,Healthcare,Male,Associate's degree
2002,May,NY,90000,84375,5625,6.25%,Finance,Female,Bachelor's degree
2002,Jun,NY,147000,132300,14700,10.00%,Finance,Male,Associate's degree
2002,Jun,NY,88000,79200,8800,10.00%,Education,Female,High school diploma
2002,Jun,CA,95000,80750,14250,15.00%,Wholesale Trade,Male,Master's degree
2002,Jun,CA,67000,56950,10050,15.00%,Finance,Female,Associate's degree
2002,Jul,NY,220000,198200,21800,9.91%,Healthcare,Female,High school diploma
2002,Jul,CA,95000,85600,9400,9.89%,Retail,Female,Bachelor's degree
2002,Jul,NY,110000,93500,16500,15.00%,Retail,Male,Bachelor's degree
2002,Jul,NY,75000,63750,11250,15.00%,Agriculture,Female,High school diploma
2002,Aug,CA,150000,135500,14500,9.67%,Finance,Male,Master's degree
2002,Aug,CA,95000,85600,9400,9.89%,Retail,Female,Bachelor's degree
2002,Aug,NY,88000,55500,32500,36.93%,Construction,Male,Master's degree
2002,Aug,NY,95000,85600,9400,9.89%,Retail,Female,Bachelor's degree
2002,Sep,NY,125000,112500,12500,10.00%,Education,Male,Associate's degree
2002,Sep,NY,80000,72000,8000,10.00%,Agriculture,Female,High school diploma
2002,Sep,CA,90000,81000,9000,10.00%,Finance,Male,Associate's degree
2002,Sep,CA,820000,739000,81000,9.88%,Agriculture,Female,High school diploma
2002,Oct,NY,180000,162000,18000,10.00%,Manufacturing,Male,Bachelor's degree
2002,Oct,NY,95000,85500,9500,10.00%,Healthcare,Female,High school diploma
2002,Oct,CA,145000,133250,11750,8.10%,Education,Male,Bachelor's degree
2002,Oct,CA,95000,90750,4250,4.47%,Healthcare,Female,High school diploma
2002,Nov,CA,135000,121500,13500,10.00%,Energy,Male,Master's degree
2002,Nov,CA,90000,81000,9000,10.00%,Retail,Female,Associate's degree
2002,Nov,NY,140500,102000,38500,27.40%,Energy,Male,Master's degree
2002,Nov,NY,83100,68000,15100,18.17%,Construction,Female,Associate's degree
2002,Dec,NY,110000,99000,11000,10.00%,Education,Male,High school diploma
2002,Dec,NY,70000,63000,7000,10.00%,Healthcare,Female,Bachelor's degree
2002,Dec,CA,125000,99000,26000,20.80%,Education,Male,High school diploma
2002,Dec,CA,90000,83000,7000,7.78%,Education,Female,Bachelor's degree
2003,Jan,NY,200000,180000,20000,10.00%,Manufacturing,Male,Master's degree
2003,Jan,NY,105000,94500,10500,10.00%,Construction,Female,High school diploma
2003,Jan,CA,87800,68300,19500,22.21%,Manufacturing,Male,Master's degree
2003,Jan,CA,141300,126900,14400,10.19%,Retail,Female,High school diploma
2003,Feb,CA,145000,130520,14480,9.99%,Agriculture,Male,Bachelor's degree
2003,Feb,CA,90000,81000,9000,10.00%,Healthcare,Female,Associate's degree
2003,Feb,NY,95310,60750,34560,36.26%,Agriculture,Male,Bachelor's degree
2003,Feb,NY,97000,90950,6050,6.24%,Healthcare,Female,Associate's degree
2003,Mar,NY,120000,108000,12000,10.00%,Wholesale Trade,Male,Bachelor's degree
2003,Mar,NY,125000,112500,12500,10.00%,Education,Male,Associate's degree
2003,Mar,CA,98000,93300,4700,4.80%,Finance,Male,Bachelor's degree
2003,Mar,CA,55000,53350,1650,3.00%,Education,Male,Associate's degree
2003,Apr,NY,110000,93500,16500,15.00%,Retail,Male,Bachelor's degree
2003,Apr,NY,75000,63750,11250,15.00%,Agriculture,Female,High school diploma
2003,Apr,CA,140990,99000,41990,29.78%,Retail,Male,Bachelor's degree
2003,Apr,CA,80000,76500,3500,4.38%,Agriculture,Female,High school diploma
2003,May,CA,95000,80750,14250,15.00%,Healthcare,Male,Master's degree
2003,May,CA,67000,56950,10050,15.00%,Finance,Female,Associate's degree
2003,May,NY,98000,80750,17250,17.60%,Healthcare,Male,Master's degree
2003,May,NY,110000,56950,53050,48.23%,Finance,Female,Associate's degree
2003,Jun,NY,80000,68000,12000,15.00%,Manufacturing,Male,Bachelor's degree
2003,Jun,NY,53000,45050,7950,15.00%,Education,Female,High school diploma
2003,Jun,CA,120000,100750,19250,16.04%,Manufacturing,Male,Bachelor's degree
2003,Jun,CA,95000,56950,38050,40.05%,Education,Female,High school diploma
2003,Jul,NY,90000,86500,3500,3.89%,Energy,Male,Bachelor's degree
2003,Jul,NY,60000,51000,9000,15.00%,Healthcare,Female,High school diploma
2003,Jul,CA,67000,56950,10050,15.00%,Professional and Business S.,Male,Associate's degree
2003,Jul,CA,98000,80750,17250,17.60%,"Trade, Transportation, Util.",Female,Master's degree
2003,Aug,CA,77000,65450,11550,15.00%,Construction,Male,Bachelor's degree
2003,Aug,CA,52000,44200,7800,15.00%,Agriculture,Female,High school diploma
2003,Aug,NY,90000,84375,5625,6.25%,Energy,Male,Bachelor's degree
2003,Aug,NY,90000,83000,7000,7.78%,Finance,Female,High school diploma
2003,Sep,NY,62000,52700,9300,15.00%,Retail,Male,Master's degree
2003,Sep,NY,42000,35700,6300,15.00%,Healthcare,Female,Associate's degree
2003,Sep,CA,12451600,11224400,1227200,9.86%,Hospitality,Male,Associate's degree
2003,Sep,CA,17678400,15576000,2102400,11.89%,Professional and Business S.,Female,Master's degree
2003,Oct,NY,80000,68000,12000,15.00%,"Trade, Transportation, Util.",Male,Bachelor's degree
2003,Oct,NY,54000,45900,8100,15.00%,Energy,Female,High school diploma
2003,Oct,CA,165000,140250,24750,15.00%,Finance,Male,High school diploma
2003,Oct,CA,230000,207000,23000,10.00%,Hospitality,Female,Associate's degree
2003,Nov,CA,120000,108000,12000,10.00%,Energy,Male,Master's degree
2003,Nov,CA,49000,41650,7350,15.00%,Retail,Female,Bachelor's degree
2003,Nov,NY,85000,81000,4000,4.71%,Professional and Business S.,Male,High school diploma
2003,Nov,NY,120000,112200,7800,6.50%,"Trade, Transportation, Util.",Female,Master's degree
2003,Dec,NY,135000,121500,13500,10.00%,Energy,Male,Associate's degree
2003,Dec,NY,90000,81000,9000,10.00%,Finance,Female,Bachelor's degree
2003,Dec,CA,103000,94000,9000,8.74%,Hospitality,Male,High school diploma
2003,Dec,CA,80000,68000,12000,15.00%,Professional and Business S.,Female,Master's degree
2004,Jan,NY,75000,68000,7000,9.33%,"Trade, Transportation, Util.",Male,Associate's degree
2004,Jan,NY,95000,80750,14250,15.00%,Energy,Female,Bachelor's degree
2004,Jan,CA,15321000,14181000,1140000,7.44%,Finance,Male,Master's degree
2004,Jan,CA,11404000,10546000,858000,7.52%,Hospitality,Female,Associate's degree
2004,Feb,CA,160000,136000,24000,15.00%,Manufacturing,Male,Bachelor's degree
2004,Feb,CA,105000,89250,15750,15.00%,Finance,Female,Bachelor's degree
2004,Feb,NY,65400,62000,3400,5.20%,Professional and Business S.,Male,Associate's degree
2004,Feb,NY,15321000,14181000,1140000,7.44%,Finance,Female,Associate's degree
2004,Mar,NY,11404000,10546000,858000,7.52%,Hospitality,Male,High school diploma
2004,Mar,NY,85000,74250,10750,12.65%,Retail,Female,Master's degree
2004,Mar,CA,85000,81000,4000,4.71%,Professional and Business S.,Male,Associate's degree
2004,Mar,CA,5291,5022,269,5.08%,"Trade, Transportation, Util.",Female,Associate's degree
2004,Apr,NY,155000,131750,23250,15.00%,Energy,Male,Associate's degree
2004,Apr,NY,100000,85000,15000,15.00%,Finance,Female,Bachelor's degree
2004,Apr,CA,165000,140250,24750,15.00%,Hospitality,Male,Associate's degree
2004,Apr,CA,9800000,9082500,717500,7.32%,Professional and Business S.,Female,Associate's degree
2004,May,CA,8700000,8047500,652500,7.50%,Finance,Male,High school diploma
2004,May,CA,110000,93500,16500,15.00%,Hospitality,Female,Master's degree
2004,May,NY,817000,754000,63000,7.71%,Professional and Business S.,Male,Associate's degree
2004,May,NY,407000,378000,29000,7.13%,"Trade, Transportation, Util.",Female,Associate's degree
2004,Jun,NY,140000,119000,21000,15.00%,Energy,Male,Master's degree
2004,Jun,NY,90000,76500,13500,15.00%,Finance,Female,Bachelor's degree
2004,Jun,CA,17678400,15576000,2102400,11.89%,Hospitality,Male,High school diploma
2004,Jun,CA,85000,74250,10750,12.65%,Hospitality,Female,Master's degree
2004,Jul,NY,165000,140250,24750,15.00%,Energy,Male,Associate's degree
2004,Jul,NY,105000,89250,15750,15.00%,Healthcare,Female,Bachelor's degree
2004,Jul,CA,67000,56950,10050,15.00%,Professional and Business S.,Male,High school diploma
2004,Jul,CA,98000,80750,17250,17.60%,Finance,Female,Master's degree
2004,Aug,NY,200000,180000,20000,10.00%,Hospitality,Male,Associate's degree
2004,Aug,NY,105000,94500,10500,10.00%,Energy,Female,Bachelor's degree
2004,Aug,CA,4183000,3929000,254000,6.07%,Finance,Male,High school diploma
2004,Aug,CA,7044000,6622000,422000,5.99%,Professional and Business S.,Female,Master's degree
2004,Sep,CA,140000,126000,14000,10.00%,Finance,Male,Associate's degree
2004,Sep,CA,90000,81000,9000,10.00%,Hospitality,Female,Bachelor's degree
2004,Sep,NY,68000,63000,5000,7.35%,Energy,Male,High school diploma
2004,Sep,NY,65400,62000,3400,5.20%,Finance,Female,Master's degree
2004,Oct,NY,115000,103500,11500,10.00%,Finance,Male,Bachelor's degree
2004,Oct,NY,75000,67500,7500,10.00%,Education,Female,High school diploma
2004,Oct,CA,12451600,11224400,1227200,9.86%,Professional and Business S.,Male,Bachelor's degree
2004,Oct,CA,17678400,15576000,2102400,11.89%,Finance,Female,Bachelor's degree
2004,Nov,NY,160000,144000,16000,10.00%,Hospitality,Male,Bachelor's degree
2004,Nov,NY,85000,76500,8500,10.00%,Energy,Female,High school diploma
2004,Nov,CA,42800,34900,7900,18.46%,Finance,Male,Bachelor's degree
2004,Nov,CA,1270000,1148000,122000,9.61%,Professional and Business S.,Female,Bachelor's degree
2004,Dec,CA,750000,675000,75000,10.00%,Finance,Male,Bachelor's degree
2004,Dec,CA,100000,90000,10000,10.00%,Hospitality,Female,High school diploma
2004,Dec,NY,817000,754000,63000,7.71%,Energy,Male,Bachelor's degree
2004,Dec,NY,407000,378000,29000,7.13%,Finance,Female,Associate's degree
2005,Jan,NY,140000,126000,14000,10.00%,Hospitality,Male,Bachelor's degree
2005,Jan,NY,90000,81000,9000,10.00%,Retail,Female,High school diploma
2005,Jan,CA,67000,56950,10050,15.00%,Finance,Male,Master's degree
2005,Jan,CA,98000,80750,17250,17.60%,Hospitality,Female,Master's degree
2005,Feb,NY,115000,103500,11500,10.00%,Energy,Male,Master's degree
2005,Feb,NY,75000,67500,7500,10.00%,Education,Female,Associate's degree
2005,Feb,CA,12451600,11224400,1227200,9.86%,Hospitality,Male,Master's degree
2005,Feb,CA,17678400,15576000,2102400,11.89%,Energy,Female,Associate's degree
2005,Mar,CA,160000,144000,16000,10.00%,Finance,Male,Bachelor's degree
2005,Mar,CA,85000,76500,8500,10.00%,Hospitality,Female,High school diploma
2005,Mar,NY,165000,140250,24750,15.00%,Energy,Male,Master's degree
2005,Mar,NY,120000,112200,7800,6.50%,Finance,Female,Master's degree
2005,Apr,CA,135000,121500,13500,10.00%,Manufacturing,Male,Master's degree
2005,Apr,CA,90000,81000,9000,10.00%,Healthcare,Female,Associate's degree
2005,Apr,NY,103000,94000,9000,8.74%,Professional and Business S.,Male,Master's degree
2005,Apr,NY,110000,101200,8800,8.00%,Finance,Female,Associate's degree
2005,May,NY,138000,126900,11100,8.04%,Hospitality,Male,Bachelor's degree
2005,May,NY,90000,82800,7200,8.00%,Education,Female,High school diploma
2005,May,CA,4183000,3929000,254000,6.07%,Energy,Male,Master's degree
2005,May,CA,7044000,6622000,422000,5.99%,Professional and Business S.,Female,Associate's degree
2005,Jun,NY,150000,138000,12000,8.00%,Finance,Male,Bachelor's degree
2005,Jun,NY,85000,78200,6800,8.00%,Hospitality,Female,High school diploma
2005,Jun,CA,230000,207000,23000,10.00%,Energy,Male,High school diploma
2005,Jun,CA,120000,108000,12000,10.00%,Finance,Female,High school diploma
2005,Jul,CA,195000,180900,14100,7.23%,Agriculture,Male,High school diploma
2005,Jul,CA,97000,89780,7220,7.44%,Healthcare,Female,Bachelor's degree
2005,Jul,NY,67000,56950,10050,15.00%,Professional and Business S.,Male,High school diploma
2005,Jul,NY,98000,80750,17250,17.60%,Finance,Female,High school diploma
2005,Aug,NY,142000,131960,10040,7.07%,Hospitality,Male,Associate's degree
2005,Aug,NY,87000,80520,6480,7.45%,Energy,Female,Bachelor's degree
2005,Aug,CA,110000,101200,8800,8.00%,Finance,Male,Master's degree
2005,Aug,CA,85000,74250,10750,12.65%,Hospitality,Female,Associate's degree
2005,Sep,NY,160000,148800,11200,7.00%,Energy,Male,Bachelor's degree
2005,Sep,NY,82000,75960,6040,7.37%,Healthcare,Female,Master's degree
2005,Sep,CA,90000,82800,7200,8.00%,Hospitality,Male,High school diploma
2005,Sep,CA,82000,75960,6040,7.37%,Energy,Female,Master's degree
2005,Oct,CA,182000,169240,12760,7.01%,Hospitality,Male,Associate's degree
2005,Oct,CA,96000,89040,6960,7.25%,Energy,Female,Bachelor's degree
2005,Oct,NY,90000,82800,7200,8.00%,Finance,Male,Master's degree
2005,Oct,NY,82000,75960,6040,7.37%,Energy,Female,High school diploma
2005,Nov,NY,136000,125900,10100,7.43%,Energy,Male,Master's degree
2005,Nov,NY,88000,81120,6880,7.82%,Manufacturing,Female,Associate's degree
2005,Nov,CA,90000,82800,7200,8.00%,Energy,Male,Master's degree
2005,Nov,CA,82000,75960,6040,7.37%,Hospitality,Female,Master's degree
2005,Dec,NY,130000,117000,13000,10.00%,Energy,Male,Associate's degree
2005,Dec,NY,95000,85500,9500,10.00%,Healthcare,Female,Bachelor's degree
2005,Dec,CA,90000,82800,7200,8.00%,Energy,Male,Master's degree
2005,Dec,CA,82000,75960,6040,7.37%,Energy,Female,High school diploma
2006,Jan,CA,105000,94500,10500,10.00%,Retail,Male,Master's degree
2006,Jan,CA,75000,67500,7500,10.00%,Education,Female,High school diploma
2006,Jan,NY,17678400,15576000,2102400,11.89%,Hospitality,Male,Master's degree
2006,Jan,NY,4145000,3878000,267000,6.44%,Energy,Female,Associate's degree
2006,Feb,NY,6971000,6524000,447000,6.41%,Finance,Male,Bachelor's degree
2006,Feb,NY,4162000,3909000,253000,6.08%,Agriculture,Female,High school diploma
2006,Feb,CA,6998000,6555000,443000,6.33%,Energy,Male,Master's degree
2006,Feb,CA,4168000,3914000,254000,6.09%,Hospitality,Female,Associate's degree
2006,Mar,NY,7019000,6590000,429000,6.11%,Energy,Male,Bachelor's degree
2006,Mar,NY,4183000,3929000,254000,6.07%,Healthcare,Female,High school diploma
2006,Mar,CA,7044000,6622000,422000,5.99%,Hospitality,Male,High school diploma
2006,Mar,CA,90000,82800,7200,8.00%,Energy,Female,Master's degree
2006,Apr,CA,160000,144000,16000,10.00%,Manufacturing,Male,Bachelor's degree
2006,Apr,CA,85000,76500,8500,10.00%,Retail,Female,High school diploma
2006,Apr,NY,12451600,11224400,1227200,9.86%,Agriculture,Male,Master's degree
2006,Apr,NY,17678400,15576000,2102400,11.89%,Energy,Female,Associate's degree
2006,May,NY,115000,103500,11500,10.00%,Finance,Male,Bachelor's degree
2006,May,NY,75000,67500,7500,10.00%,Education,Female,Associate's degree
2006,May,CA,67000,56950,10050,15.00%,Energy,Male,Master's degree
2006,May,CA,98000,80750,17250,17.60%,Professional and Business S.,Female,Associate's degree
2006,Jun,NY,140000,126000,14000,10.00%,Finance,Male,Bachelor's degree
2006,Jun,NY,105000,94500,10500,10.00%,Hospitality,Female,High school diploma
2006,Jun,CA,12451600,11224400,1227200,9.86%,Agriculture,Male,High school diploma
2006,Jun,CA,17678400,15576000,2102400,11.89%,Professional and Business S.,Female,Master's degree
2006,Jul,CA,160000,144000,16000,10.00%,Energy,Male,Associate's degree
2006,Jul,CA,85000,76500,8500,10.00%,Finance,Female,Bachelor's degree
2006,Jul,NY,90000,82800,7200,8.00%,Finance,Male,High school diploma
2006,Jul,NY,85000,81000,4000,4.71%,Hospitality,Female,Associate's degree
2006,Aug,CA,240000,220000,20000,8.33%,Hospitality,Male,Bachelor's degree
2006,Aug,CA,110000,101200,8800,8.00%,Healthcare,Female,High school diploma
2006,Aug,NY,68000,63000,5000,7.35%,Professional and Business S.,Male,Master's degree
2006,Aug,NY,90000,82800,7200,8.00%,Finance,Female,Associate's degree
2006,Sep,NY,175000,160000,15000,8.57%,Hospitality,Male,Bachelor's degree
2006,Sep,NY,90000,81000,9000,10.00%,Education,Female,High school diploma
2006,Sep,CA,90000,82800,7200,8.00%,Education,Male,Bachelor's degree
2006,Sep,CA,82000,75960,6040,7.37%,Professional and Business S.,Female,Bachelor's degree
2006,Oct,NY,160000,148000,12000,7.50%,Energy,Male,Associate's degree
2006,Oct,NY,80000,72000,8000,10.00%,Finance,Female,Bachelor's degree
2006,Oct,CA,19250000,16805000,2445000,12.70%,Finance,Male,High school diploma
2006,Oct,CA,85000,81000,4000,4.71%,Hospitality,Female,Master's degree
2006,Nov,NY,130000,120000,10000,7.69%,Hospitality,Male,Associate's degree
2006,Nov,NY,75000,67500,7500,10.00%,Healthcare,Female,Bachelor's degree
2006,Nov,CA,4183000,3929000,254000,6.07%,Professional and Business S.,Male,High school diploma
2006,Nov,CA,7044000,6622000,422000,5.99%,Finance,Female,Associate's degree
2006,Dec,NY,220000,202400,17600,8.00%,Hospitality,Male,Bachelor's degree
2006,Dec,NY,105000,94500,10500,10.00%,Retail,Female,High school diploma
2006,Dec,CA,17678400,15576000,2102400,11.89%,Manufacturing,Male,Master's degree
2006,Dec,CA,15321000,14181000,1140000,7.44%,Technology,Female,Associate's degree
2007,Jan,NY,11404000,10546000,858000,7.52%,Finance,Male,Bachelor's degree
2007,Jan,NY,95000,85500,9500,10.00%,Education,Female,High school diploma
2007,Jan,CA,12451600,11224400,1227200,9.86%,Retail,Male,Master's degree
2007,Jan,CA,17678400,15576000,2102400,11.89%,Professional and Business S.,Female,Associate's degree
2007,Feb,NY,170000,157600,12400,7.29%,Energy,Male,Bachelor's degree
2007,Feb,NY,85000,76500,8500,10.00%,Finance,Female,High school diploma
2007,Feb,CA,90000,82800,7200,8.00%,Finance,Male,Master's degree
2007,Feb,CA,82000,75960,6040,7.37%,Hospitality,Female,Bachelor's degree
2007,Mar,NY,140000,129200,10800,7.71%,Hospitality,Male,Bachelor's degree
2007,Mar,NY,70000,63000,7000,10.00%,Retail,Female,Bachelor's degree
2007,Mar,CA,110000,101200,8800,8.00%,Education,Male,High school diploma
2007,Mar,CA,9800000,9082500,717500,7.32%,Manufacturing,Female,Master's degree
2007,Apr,NY,8700000,8047500,652500,7.50%,Finance,Male,Associate's degree
2007,Apr,NY,190000,174400,15600,8.21%,Healthcare,Female,Bachelor's degree
2007,Apr,CA,85000,81000,4000,4.71%,Finance,Male,Master's degree
2007,Apr,CA,120000,112200,7800,6.50%,Technology,Female,Associate's degree
